CLT_ID,NAME,Group ID,STATUS,SALES,COLL,LIST_AMT,PAID_AMT,AMOUNT,AGE,SM ,MED,LG,CC,FEE_AMT,AMOUNT_EARNED_US,AMOUNT_EARNED_CLT,TOTAL_AMOUNT_EARNED,ATTORNEY_FEES,COURT_COSTS,ES1,ES2,ES3,ESF
531,"Magnolia Gastroenterology, PA",,C,5,K29,$0.00 ,"$12,717.90 ","$6,043.73 ",0,0,0,0,0,"$2,113.23 ","$4,699.17 ","$3,499.87 ","$8,199.04 ",1365.22,403,,,,
540,Birmingham Hematology & Oncology Assoc.,,A,5,P25,"$481,948.09 ","$29,214.34 ","$6,871.05 ",157,29,0,0,813,,,,,,,,,,
547,Siloam Springs Memorial Hospital,,C,5,K25,$0.00 ,$120.00 ,$30.00 ,0,0,0,0,,,,,,,,,,,
549,Plantersville Family Clinic,,A,5,K33,"$12,569.56 ","$6,473.20 ","$2,256.10 ",240,42,0,0,145,$74.33 ,$329.92 ,$460.65 ,$790.57 ,0.33,74,,,,
551,Brookwood OBGYN,,I,5,K30,$0.00 ,$588.32 ,$182.09 ,0,0,0,0,,,,,,,,,,,
558,Eze Family Medical Clinic,,A,5,S32,"$55,901.62 ","$10,286.09 ","$3,510.85 ",538,50,0,0,376,$242.70 ,$383.57 ,$251.98 ,$635.55 ,118.8,114,,,,
564,"James L. White, M.D.",,A,5,K30,"$21,694.13 ","$8,988.26 ","$3,199.54 ",228,9,44,53,,$511.10 ,"$1,254.93 ","$1,447.33 ","$2,702.26 ",150.6,228,,,,
565,"Clyde Phillips, M.D.",,A,5,K30,"$25,302.31 ","$10,956.45 ","$4,672.22 ",226,14,33,48,,"$1,550.06 ","$2,670.96 ","$1,726.59 ","$4,397.55 ",1094.49,307.03,,,,
566,"Osvaldo Hans, M.D.",,C,5,K33,$0.00 ,$40.00 ,$16.00 ,0,0,0,0,,$0.00 ,$16.00 ,$24.00 ,$40.00 ,,,,,,
567,"Jackson Ear, Nose & Throat Clinic",,C,5,K33,$0.00 ,$233.67 ,$82.47 ,0,0,0,0,,,,,,,,,,,
568,"Stacy Haynes, M.D.",,C,5,K29,$0.00 ,$339.85 ,$107.08 ,0,0,0,0,,,,,,,,,,,
587,Dr. Price Kloess / Alabama Vision Ctr,,C,5,K29,$0.00 ,$67.70 ,$19.63 ,0,0,0,0,,,,,,,,,,,
593,Dr. Matthew B. Wesson,,A,5,K33,"$12,067.66 ","$3,316.30 ","$1,378.00 ",227,0,27,43,,$294.32 ,$558.92 ,$323.40 ,$882.32 ,178.82,115.5,,,,
594,Dr. Fred H. Mothershed,,A,5,K33,"$3,035.40 ",$927.31 ,$284.56 ,206,0,20,8,,$0.00 ,$27.72 ,$56.28 ,$84.00 ,,,,,,
600,Tishomingo Health Services Inc. GRP,"600,800",A,5,K35,"$4,250,397.72 ","$88,831.69 ","$39,941.84 ",489,99,0,0,4715,"$11,585.75 ","$20,793.61 ","$14,354.54 ","$35,148.15 ",6601.29,4298.12,,,,
601,Imaging Associates of N MS Magnolia LLC,,A,5,K33,"$2,084,769.87 ","$133,348.26 ","$53,483.48 ",315,1,0,0,14477,"$9,455.42 ","$20,015.23 ","$16,740.13 ","$36,755.36 ",4708.83,4051.26,,,,
608,"Ken Grinspun, M.D.",,C,5,K30,$0.00 ,$15.00 ,$6.00 ,0,0,0,0,,$0.00 ,$6.00 ,$9.00 ,$15.00 ,,,,,,
627,Certified Medical Specialists,,A,5,K29,"$303,555.90 ","$14,965.03 ","$5,703.83 ",642,0,0,0,428,"$1,223.53 ","$2,981.74 ","$2,851.44 ","$5,833.18 ",1381.42,357,,,,
635,"Michael Gerhardt & Brice Brackin, MD",,C,5,K30,$0.00 ,"$1,031.00 ",$317.36 ,0,0,0,0,,,,,,,,,,,
661,Marion Regional Medical Center GRP,"661,689",A,5,K25,"$3,036,443.44 ","$66,709.79 ","$24,789.24 ",503,125,0,0,3648,"$4,776.89 ","$15,840.00 ","$16,859.41 ","$32,699.41 ",2862.33,1927.7,,,,
668,"Mason Surgical Clinic, PLLC",,C,5,K35,"$72,254.81 ","$12,966.72 ","$5,774.72 ",428,0,28,101,,,,,,,,,,,
676,Radiology of North Mississippi,,C,1,K28,$0.00 ,$176.37 ,$49.35 ,0,0,0,0,,$0.00 ,$2.78 ,$7.16 ,$9.94 ,,,,,,
681,Newton Regional Hospital,,C,5,K30,$0.00 ,$892.38 ,$454.89 ,0,0,0,0,,$96.93 ,$454.89 ,$437.49 ,$892.38 ,96.93,,,,,
684,Corinth Surgery CRNA Billing,,I,5,K27,$0.00 ,$5.00 ,$1.35 ,0,0,0,0,,$0.00 ,$1.35 ,$3.65 ,$5.00 ,,,,,,
693,New Albany OBGYN,,I,5,K34,$0.00 ,"$2,552.85 ","$1,512.28 ",0,0,0,0,,$782.35 ,"$1,367.86 ",$760.21 ,"$2,128.07 ",740.81,373.12,,,,
694,Gastroenterology for Children,,A,5,K00,"$12,119.45 ","$4,422.67 ","$1,220.52 ",159,21,73,33,,,,,,,,,,,
696,Plastic and Hand Surgery Associates,,C,5,K29,$0.00 ,"$1,703.51 ","$1,030.19 ",0,0,0,0,,$656.61 ,$890.41 ,$350.70 ,"$1,241.11 ",606.61,50,,,,
700,Magnolia Regional Health Center GRP,"700,775",A,5,K25,$0.00 ,"$388,673.62 ","$170,746.09 ",0,0,0,0,0,"$71,248.15 ","$143,626.30 ","$137,680.97 ","$281,307.27 ",51107.65,12841.37,,,,
705,Tri Lakes Medical Center,,C,5,D28,$0.00 ,"$11,457.97 ","$3,778.09 ",0,0,0,0,,$0.00 ,$101.37 ,$191.00 ,$292.37 ,,,,,,
706,"The Meridian Anesthesiology Group, PA",,A,5,K32,"$412,550.52 ","$55,803.06 ","$22,021.34 ",218,15,602,686,,"$4,237.53 ","$7,863.10 ","$5,608.11 ","$13,471.21 ",2453.4,1644.86,,,,
707,Internal Medicine & Pediatric Clinic,,A,1,K35,"$18,590.69 ","$4,089.77 ","$1,982.98 ",338,0,2,53,,$631.75 ,"$1,251.33 ",$757.35 ,"$2,008.68 ",203.54,312.71,,,,
710,Mid-Town Family Clinic,,C,5,K40,$0.00 ,$223.00 ,$89.20 ,0,0,0,0,,,,,,,,,,,
712,Dr. Kenneth Kellough,,C,5,K31,$0.00 ,$16.17 ,$4.69 ,0,0,0,0,,,,,,,,,,,
732,Acute Care & Family Clinic of Pontotoc,,A,5,K33,"$13,947.03 ","$5,857.66 ","$2,642.74 ",234,0,9,20,50,$751.20 ,"$1,325.68 ",$718.14 ,"$2,043.82 ",372.1,454.33,,,,
743,Mission Primary Care Clinic,,C,5,K27,$0.00 ,$564.08 ,$152.30 ,0,0,0,0,,,,,,,,,,,
745,Family Medicine Clinic - Dr. James Ervin,,I,5,K33,$0.00 ,$281.46 ,$92.88 ,0,0,0,0,,,,,,,,,,,
746,Magnolia Endoscopy Center,,C,5,K29,$0.00 ,"$6,261.93 ","$2,865.67 ",0,0,0,0,0,$783.43 ,"$2,171.36 ","$1,696.41 ","$3,867.77 ",448.07,312.71,,,,
747,"Magnolia Regional Medical, CRNA",,A,5,K27,"$183,974.55 ","$21,615.68 ","$8,014.83 ",242,198,0,0,642,"$1,116.03 ","$4,267.29 ","$4,255.33 ","$8,522.62 ",567.27,472,,,,
752,The Imaging Center at Gloster Creek,,A,5,K33,"$731,764.45 ","$129,395.02 ","$53,336.06 ",299,83,694,1151,,"$12,266.35 ","$23,073.50 ","$16,589.66 ","$39,663.16 ",8265.3,3044.72,,,,
755,Premier Radiology,,C,1,K28,$0.00 ,"$1,072.09 ",$314.55 ,0,0,0,0,,$0.00 ,$2.20 ,$5.66 ,$7.86 ,,,,,,
758,J P B Pathology,,A,5,K30,"$355,536.77 ","$82,560.97 ","$30,372.31 ",206,95,0,0,2213,"$4,469.23 ","$8,961.39 ","$5,926.12 ","$14,887.51 ",2458.49,1724.17,,,,
764,UA Optometric,,A,5,K35,$0.00 ,$79.25 ,$24.85 ,0,0,0,0,0,,,,,,,,,,
766,Gulf Coast Sleep Lab,,C,5,K00,$0.00 ,$53.13 ,$23.91 ,0,0,0,0,,$0.00 ,$23.91 ,$29.22 ,$53.13 ,,,,,,
768,Tri Lakes Medical Center Clinics,,C,5,K28,$0.00 ,$73.52 ,$20.58 ,0,0,0,0,,$0.00 ,$9.39 ,$24.13 ,$33.52 ,,,,,,
773,Anesthesia Resource Mgmt. Solutions,,C,5,K25,$0.00 ,$233.00 ,$64.25 ,0,0,0,0,,,,,,,,,,,
778,Arkansas Cardiology GRP,"778,779",A,5,D22,"$57,973.88 ","$25,153.78 ","$10,093.61 ",506,1,44,124,,"$3,114.96 ","$5,455.29 ","$3,621.89 ","$9,077.18 ",1814.55,539.56,,,,
780,Tennessee Valley Pediatric Sedation,,A,5,K15,"$3,550.10 ",$599.39 ,$147.70 ,222,1,0,0,19,,,,,,,,,,
791,Pain Management Center of N MS PLLC,,A,5,K35,"$204,346.36 ","$36,843.24 ","$13,711.84 ",234,1011,763,421,,$893.83 ,"$1,878.95 ","$1,742.73 ","$3,621.68 ",436.51,556,,,,
792,Bessemer ER Physicians,,C,5,K35,$0.00 ,$400.00 ,$140.00 ,0,0,0,0,,,,,,,,,,,
793,Premier Medical / St. Vincent's East ER,,A,5,K45,"$3,214,829.72 ","$151,171.55 ","$77,234.57 ",237,315,0,0,7715,"$5,907.31 ","$14,975.41 ","$9,083.93 ","$24,059.34 ",2968.77,2984.44,,,,
794,"Premier Medical / Urgent Care, P.C.",,A,5,K45,"$38,823.84 ","$9,566.07 ","$4,651.63 ",275,279,0,0,335,,,,,,,,,,
795,Dr. James W. Major,,C,5,K31,$0.00 ,$116.49 ,$105.55 ,0,0,0,0,,$96.58 ,$105.55 ,$10.94 ,$116.49 ,6.84,36.35,,,,
796,Dr. Edwin Ozua,,C,5,K31,$0.00 ,$277.95 ,$154.61 ,0,0,0,0,,$53.70 ,$154.61 ,$123.34 ,$277.95 ,3.7,50,,,,
802,Family Medicine Clinic of N. MS.,,C,5,K35,$0.00 ,$413.52 ,$144.73 ,0,0,0,0,,$0.00 ,$85.21 ,$158.26 ,$243.47 ,,,,,,
803,"Meridian CRNA, LLC",,A,5,K32,"$23,795.62 ","$6,208.46 ","$2,206.87 ",207,3,149,75,,$194.91 ,$513.17 ,$529.99 ,"$1,043.16 ",63.91,65,,,,
805,Sutherland Cardiology,,I,11,K00,$0.00 ,"$4,962.76 ","$2,411.04 ",0,0,0,0,,"$1,192.64 ","$2,041.48 ","$1,301.14 ","$3,342.62 ",971.84,213,,,,
807,Metabolic Disorders,,A,5,K30,"$66,371.42 ","$33,604.16 ","$11,032.74 ",247,0,121,204,,$451.50 ,"$2,142.55 ","$2,844.96 ","$4,987.51 ",184,243.5,,,,
808,Jackson Ear Clinic,,I,5,K33,$0.00 ,"$2,401.68 ","$1,288.57 ",0,0,0,0,,$565.00 ,"$1,236.23 ","$1,006.85 ","$2,243.08 ",93.75,190,,,,
810,Creekmore Clinic,,I,5,K30,$0.00 ,$552.19 ,$173.64 ,0,0,0,0,,$0.00 ,$33.41 ,$51.46 ,$84.87 ,,,,,,
813,"D. Land Renfroe, M.D.",,C,5,K31,$0.00 ,$65.19 ,$20.21 ,0,0,0,0,,,,,,,,,,,
814,Denis A. Yalkut M.D.,,C,5,K31,$0.00 ,$474.16 ,$293.07 ,0,0,0,0,,$144.91 ,$293.07 ,$181.09 ,$474.16 ,74.91,70,,,,
816,North East Orthopaedics,,C,5,K33,$0.00 ,"$2,278.79 ","$1,114.68 ",0,0,0,0,,$407.77 ,$980.69 ,$892.07 ,"$1,872.76 ",260.36,134.21,,,,
818,"Anesthesia Consultants, P.A. GRP","818-819, 821-824, 826, 828, 831, 836-839",A,5,S28,"$108,858.34 ","$22,474.37 ","$6,330.86 ",187,31,259,316,,$49.72 ,$61.99 ,$18.41 ,$80.40 ,49.72,,,,,
825,Greenwood Leflore Physician Services,,C,5,K33,$0.00 ,$389.00 ,$128.37 ,0,0,0,0,,,,,,,,,,,
832,"Crossroads Rehabilitation Services, Inc. GRP","832,854",A,5,K33,"$88,256.06 ","$17,241.06 ","$6,702.52 ",351,0,14,218,,$939.35 ,"$2,123.56 ","$1,656.15 ","$3,779.71 ",586.28,353.07,,,,
842,"Oxford Endocrinology Consultants, P.C.",,A,5,K35,$570.34 ,$577.28 ,$202.05 ,318,1,8,1,,$0.00 ,$78.72 ,$146.18 ,$224.90 ,,,,,,
847,The Bone and Joint Clinic,,I,11,K25,$0.00 ,"$19,683.17 ","$5,653.40 ",0,0,0,0,,$331.25 ,"$1,560.39 ","$1,915.64 ","$3,476.03 ",,331.25,,,,
848,Imaging Centers for Excellence,,C,5,K27,$0.00 ,$108.50 ,$29.30 ,0,0,0,0,,,,,,,,,,,
850,Oxford Orthopaedics,,C,5,K33,$0.00 ,$148.87 ,$49.13 ,0,0,0,0,,,,,,,,,,,
855,Rehab 2000,,I,5,K35,$0.00 ,$10.02 ,$3.51 ,0,0,0,0,,,,,,,,,,,
858,Rehab at Work,,C,5,K30,$0.00 ,"$17,765.10 ","$8,963.08 ",0,0,0,0,,"$3,951.78 ","$7,472.10 ","$5,425.69 ","$12,897.79 ",2742.51,998.53,,,,
859,Hickory Hollow Foot and Ankle Center,,A,11,K30,$0.00 ,$111.08 ,$27.46 ,0,0,0,0,0,,,,,,,,,,
860,Surgery Clinic of Tupelo GRP,860-864 ,C,5,K25,$0.00 ,"$1,390.00 ",$347.50 ,0,0,0,0,,$0.00 ,$150.00 ,$450.00 ,$600.00 ,,,,,,
870,Surgery Clinic of Tupelo GRP,"870-873, 875-876",A,5,K30,"$438,698.29 ","$106,384.35 ","$42,695.78 ",183,4,229,620,,"$9,691.95 ","$20,683.22 ","$14,483.03 ","$35,166.25 ",5231.7,2855.31,,,,
874,Accent Plastic Surgery -13,,C,5,K30,$0.00 ,"$1,383.97 ",$490.19 ,0,0,0,0,,$0.00 ,$199.79 ,$244.18 ,$443.97 ,,,,,,
878,Tupelo Plastic Surgery Clinic,,A,5,K30,"$85,462.77 ","$21,171.61 ","$8,465.70 ",177,0,21,97,,"$2,090.53 ","$3,962.39 ","$2,506.21 ","$6,468.60 ",1197.48,696,,,,
879,Angela Campbell Orsborn,,I,5,K33,$0.00 ,$631.32 ,$451.22 ,0,0,0,0,,$321.32 ,$424.82 ,$126.50 ,$551.32 ,167.32,114,,,,
881,Tupelo Ear Nose & Throat,,A,1,K30,"$561,321.50 ","$181,711.10 ","$65,725.59 ",235,36,676,929,,"$10,552.18 ","$21,515.43 ","$17,224.24 ","$38,739.67 ",5766.16,3582.01,,,,
882,"David J. Halvorson, M.D.",,A,5,K35,"$54,100.57 ","$12,721.73 ","$4,740.15 ",233,1,76,128,,$250.70 ,$483.79 ,$284.90 ,$768.69 ,121.66,129.04,,,,
883,Friendship Family Medical,,I,5,K35,$0.00 ,$5.98 ,$2.09 ,0,0,0,0,,,,,,,,,,,
884,Jackson Sports Medicine and Rehab,,I,5,K33,$0.00 ,$68.00 ,$25.12 ,0,0,0,0,,,,,,,,,,,
885,Greenville Sports Medicine,,A,5,K33,"$14,743.44 ",$924.00 ,$326.35 ,370,0,0,0,35,,,,,,,,,,
886,Ridgeland Sports Medicine,,C,5,K33,$0.00 ,$491.35 ,$162.15 ,0,0,0,0,0,,,,,,,,,,
887,Byram Sports Medicine,,C,5,K33,$0.00 ,$79.00 ,$28.75 ,0,0,0,0,,,,,,,,,,,
890,North Mississippi Pain Management,,A,5,TAG,"$173,670.64 ","$43,381.64 ","$18,751.92 ",264,12,272,275,,"$5,718.22 ","$11,260.95 ","$8,894.44 ","$20,155.39 ",3590.6,1341.87,,,,
893,"Gastroenterology Associates, N.A.",,A,5,K29,"$350,411.92 ","$56,655.16 ","$18,279.25 ",291,272,624,793,,"$1,315.57 ","$3,323.82 ","$3,097.88 ","$6,421.70 ",768.33,547.24,,,,
894,Helton Family Dental,,A,5,K33,"$2,841.20 ","$2,208.54 ","$1,026.82 ",501,0,0,0,8,$344.43 ,$606.03 ,$392.40 ,$998.43 ,233.43,64,,,,
895,Tennessee Valley Pain Consultants,,A,5,K29,"$713,567.00 ","$139,840.43 ","$45,473.93 ",161,611,2960,1871,,"$3,831.41 ","$8,692.10 ","$8,056.73 ","$16,748.83 ",1407.63,2040.03,,,,
896,Center for Colon & Digestive Diseases,,A,5,K29,"$263,085.59 ","$100,670.45 ","$31,530.01 ",170,388,798,622,,"$1,732.76 ","$3,871.50 ","$3,853.98 ","$7,725.48 ",928.93,803.83,,,,
897,The Bone and Joint Surgery Center,,C,11,K33,$0.00 ,"$1,634.93 ",$599.32 ,0,0,0,0,,$59.50 ,$225.96 ,$277.56 ,$503.52 ,,59.5,,,,
899,"Nephrology Associates, P.C.",,A,5,S38,$0.00 ,"$4,753.83 ","$1,599.58 ",0,0,0,0,0,,,,,,,,,,
901,General Surgery Associates /MD Solutions,,A,5,K29,"$395,981.41 ","$46,105.95 ","$15,991.48 ",181,80,284,538,,"$2,502.18 ","$4,314.30 ","$2,788.54 ","$7,102.84 ",1131.81,1182.87,,,,
902,Huntsville Endoscopy Center,,A,5,K29,"$104,941.27 ","$43,195.49 ","$14,407.96 ",167,7,163,282,,"$1,562.83 ","$3,293.72 ","$2,805.66 ","$6,099.38 ",575.55,904.96,,,,
903,Physician Professional Fee /MD Solutions,,A,5,K40,"$308,416.73 ","$39,347.74 ","$16,395.76 ",192,1475,1309,413,,$471.58 ,"$1,180.40 ","$1,063.23 ","$2,243.63 ",,396.58,,,,
904,University Anesthesia Associates,,I,11,K20,$0.00 ,"$5,562.00 ","$1,195.61 ",0,0,0,0,0,$0.00 ,$170.35 ,$681.43 ,$851.78 ,,,,,,
906,Monroe County Mississippi Justice Court,,I,5,K00,$0.00 ,"$12,335.36 ","$2,503.06 ",0,0,0,0,,,,,,,,,,,
910,Dr. Rex Harris,,I,5,K35,$0.00 ,$21.54 ,$7.54 ,0,0,0,0,,,,,,,,,,,
912,"L  & B Laboratories, Inc",,C,5,K30,$0.00 ,$378.00 ,$124.60 ,0,0,0,0,0,,,,,,,,,,
913,"MS Ear, Nose, Throat Surgical Asso.",,A,5,K30,"$81,396.09 ","$15,237.28 ","$5,870.02 ",283,0,81,196,,"$1,084.90 ","$2,497.65 ","$2,151.72 ","$4,649.37 ",331.4,555.5,,,,
914,Women's Medical Assoc. of Nashville,,A,11,S01,"$31,108.90 ","$5,280.06 ","$1,630.79 ",433,0,19,64,,,,,,,,,,,
915,Tupelo Orthopedic Clinic,,A,5,K25,"$139,594.46 ","$24,035.95 ","$10,273.93 ",471,0,60,174,,"$4,263.86 ","$7,062.20 ","$4,486.84 ","$11,549.04 ",4669.58,762.81,,,,
917,"The Surgical Clinic, PLLC",,A,11,S01,"$355,169.54 ","$13,284.37 ","$4,916.47 ",499,12,124,366,,"$1,104.73 ","$1,814.20 ","$1,231.75 ","$3,045.95 ",859.98,26,,,,
919,Mid-Tennessee Bone & Joint Clinic,,A,11,D29,"$464,029.05 ","$80,879.51 ","$26,740.04 ",380,3,193,717,,"$2,140.24 ","$4,773.33 ","$4,475.11 ","$9,248.44 ",1188.74,652,,,,
920,Tennessee Sports Medicine & Orthopedics,,I,11,R29,$0.00 ,"$3,862.74 ","$1,252.41 ",0,0,0,0,,,,,,,,,,,
921,Arkansas Specialty Orthopaedics GRP,"921, 922",I,5,D22,"$961,783.92 ","$226,514.56 ","$83,607.01 ",423,11,406,1853,,"$20,175.19 ","$36,367.99 ","$25,153.11 ","$61,503.10 ",11593.15,5674.02,,,,
923,Olive Branch Family Medical Center,,A,5,K30,"$42,559.51 ","$22,119.83 ","$6,869.49 ",238,1,5,227,,$41.59 ,$317.32 ,$643.36 ,$960.68 ,,50,,,,
924,The Tennessee Credit Union,,C,11,K30,$0.00 ,"$10,672.34 ","$6,639.83 ",0,0,0,0,,"$3,931.10 ","$6,639.83 ","$4,032.51 ","$10,672.34 ",3881.1,,,,,
927,Middle Tennessee Locum Services,,I,11,K20,$0.00 ,"$1,031.31 ",$222.26 ,0,0,0,0,0,,,,,,,,,,
929,Hamilton Specialty Clinic - Dr. Seay,,I,5,K25,$0.00 ,$599.95 ,$149.98 ,0,0,0,0,0,$0.00 ,$1.07 ,$3.23 ,$4.30 ,,,,,,
932,Surgical Alliance of Middle TN,,I,11,K33,$0.00 ,"$1,242.22 ",$409.94 ,0,0,0,0,,,,,,,,,,,
934,"Norwood Clinic, Inc.",,A,5,K32,"$90,017.14 ","$16,254.23 ","$4,986.70 ",703,7,150,223,,$0.00 ,$0.12 ,$0.29 ,$0.41 ,,,,,,
935,Gallatin Women's Center,,I,11,K33,$0.00 ,$386.55 ,$151.68 ,0,0,0,0,,,,,,,,,,,
936,"Baxter Clinic of Hernando, PLLC",,I,5,K33,"$8,733.28 ","$1,558.45 ",$516.97 ,350,0,34,29,,,,,,,,,,,
